,GEO_ID,NAME,percentage_only_cell_data_plan,Year,percentage_with_computer,percentage_with_computer_and_broadband,percentage_no_vehicle,percentage_public_transportation,percentage_walked,percentage_wfh,percentage_in_labor_pool,percentage_in_same_house_17_and_under,percentage_rent_above_50,percentage_snap,percentage_ssi,percentage_poverty
0,1400000US36067000100,"Census Tract 1, Onondaga County, New York",0.07084468664850137,2017,0.8463114754098361,0.8450363196125908,0.04716981132075472,0.0,0.1391509433962264,0.08490566037735849,0.6838006230529595,0.9206349206349206,0.14893617021276595,0.05327868852459016,0.208955223880597,0.14609929078014183
1,1400000US36067000200,"Census Tract 2, Onondaga County, New York",0.08333333333333333,2017,0.6610299769408148,0.7476744186046511,0.1493975903614458,0.06586345381526104,0.033734939759036145,0.0,0.6021413276231263,0.9304750869061413,0.24814814814814815,0.3674096848578017,0.7037861915367484,0.2970360824742268
2,1400000US36067000300,"Census Tract 3, Onondaga County, New York",0.041353383458646614,2017,0.9115323854660348,0.9116117850953206,0.061224489795918366,0.036989795918367346,0.003826530612244898,0.029336734693877552,0.6734539969834088,0.8885793871866295,0.14189189189189189,0.11690363349131122,0.1475826972010178,0.06235011990407674
3,1400000US36067000400,"Census Tract 4, Onondaga County, New York",0.0984643179765131,2017,0.8081580624601657,0.8596214511041009,0.08955223880597014,0.05306799336650083,0.02542841348811498,0.04809286898839138,0.6364752840036844,0.7446524064171123,0.35356200527704484,0.10516252390057361,0.3806970509383378,0.21461657231085948
4,1400000US36067000501,"Census Tract 5.01, Onondaga County, New York",0.2565597667638484,2017,0.6126609442060086,0.5814360770577933,0.28532608695652173,0.07880434782608696,0.13043478260869565,0.033967391304347824,0.5136074116965836,0.81786133960047,0.37657864523536166,0.6437768240343348,0.8880179171332587,0.43094578551642265
5,1400000US36067000600,"Census Tract 6, Onondaga County, New York",0.1518987341772152,2017,0.6555386949924128,0.6932870370370371,0.4254049445865303,0.11679454390451834,0.14919011082693948,0.03836317135549872,0.5565453137103021,0.7422166874221668,0.34258373205741627,0.5288315629742033,0.797859690844233,0.36803874092009686
6,1400000US36067000700,"Census Tract 7, Onondaga County, New York",0.11868686868686869,2017,0.7966360856269113,0.7600767754318618,0.1263482280431433,0.0662557781201849,0.0061633281972265025,0.053929121725731895,0.615819209039548,0.8556338028169014,0.245,0.363914373088685,0.4019933554817276,0.1522633744855967
7,1400000US36067000800,"Census Tract 8, Onondaga County, New York",0.10509554140127389,2017,0.7746759720837487,0.7863577863577863,0.18515497553017946,0.057096247960848286,0.01957585644371941,0.028548123980424143,0.6541244573082489,0.8382352941176471,0.29473684210526313,0.3070787637088734,0.5710928319623971,0.2691891891891892
8,1400000US36067000900,"Census Tract 9, Onondaga County, New York",0.03304347826086956,2017,0.9093567251461988,0.9244372990353698,0.007330482590103849,0.046426389737324374,0.029932803909590716,0.0500916310323763,0.6693672839506173,0.9055649241146712,0.16377171215880892,0.1118421052631579,0.16260162601626016,0.10154241645244216
9,1400000US36067001000,"Census Tract 10, Onondaga County, New York",0.1172316384180791,2017,0.7067404426559356,0.9879003558718861,0.05548996458087367,0.05844155844155844,0.02066115702479339,0.023612750885478158,0.5717384567709948,0.8181818181818182,0.28794642857142855,0.22535211267605634,0.46673095467695275,0.2099062274585237
10,1400000US36067001400,"Census Tract 14, Onondaga County, New York",0.0710172744721689,2017,0.7683060109289618,0.716927453769559,0.12747252747252746,0.07692307692307693,0.04285714285714286,0.012087912087912088,0.49701110162254486,0.778839590443686,0.31129476584022037,0.6852459016393443,0.8861144945188795,0.612962477040147
11,1400000US36067001500,"Census Tract 15, Onondaga County, New York",0.03350970017636684,2017,0.7692307692307693,0.7814285714285715,0.2898415657036347,0.13513513513513514,0.11369990680335508,0.05871388630009319,0.5613636363636364,0.7784200385356455,0.28276877761413843,0.46923076923076923,0.6912878787878788,0.34023955972806735
12,1400000US36067001600,"Census Tract 16, Onondaga County, New York",0.11600928074245939,2017,0.6440677966101694,0.7054329371816639,0.44194107452339687,0.2807625649913345,0.09445407279029462,0.0,0.41538963156178677,0.6233766233766234,0.3134743875278396,0.3460907599781301,0.7591623036649214,0.345389507154213
13,1400000US36067001701,"Census Tract 17.01, Onondaga County, New York",0.05102040816326531,2017,0.8556263269639066,0.8349875930521092,0.0,0.06584362139917696,0.012345679012345678,0.029835390946502057,0.6293103448275862,0.9558498896247241,0.35269709543568467,0.1942675159235669,0.44397905759162304,0.36982369823698236
14,1400000US36067001702,"Census Tract 17.02, Onondaga County, New York",0.015873015873015872,2017,0.873542600896861,0.7761806981519507,0.11651234567901235,0.10185185185185185,0.05709876543209876,0.008487654320987654,0.6833578792341679,0.9096267190569745,0.22935779816513763,0.23766816143497757,0.28982725527831094,0.17794585987261147
15,1400000US36067001800,"Census Tract 18, Onondaga County, New York",0.07475813544415127,2017,0.9432153392330384,0.8889757623143081,0.09803921568627451,0.0659536541889483,0.020796197266785502,0.0255496137849079,0.7261427425821972,0.5985401459854015,0.26975476839237056,0.19690265486725664,0.6102189781021898,0.20130081300813008
16,1400000US36067001900,"Census Tract 19, Onondaga County, New York",0.04,2017,0.8415942769545223,0.8299939283545841,0.043652784746613146,0.044656297039638734,0.02308078273958856,0.009533366783743101,0.6579026896343306,0.7784679089026915,0.30247718383311606,0.19621870209504344,0.3471971066907776,0.16343635411210058
