,GEO_ID,NAME,percentage_only_cell_data_plan,percentage_with_computer,percentage_with_computer_and_broadband,percentage_no_vehicle,percentage_public_transportation,percentage_walked,percentage_wfh,percentage_in_labor_pool,percentage_in_same_house_17_and_under,percentage_rent_above_50,percentage_snap,percentage_ssi,percentage_poverty
0,1400000US36067000100,Census Tract 1; Onondaga County; New York,0.07592891760904685,0.9234104046242775,0.9687010954616588,0.005025125628140704,0.0,0.008793969849246231,0.18592964824120603,0.8250497017892644,1.0,0.1674641148325359,0.11127167630057803,0.7804878048780488,0.1318051575931232
1,1400000US36067000200,Census Tract 2; Onondaga County; New York,0.1610032362459547,0.8729662077596996,0.8508960573476703,0.17485380116959065,0.08888888888888889,0.043859649122807015,0.02046783625730994,0.6443944747831674,1.0,0.48632218844984804,0.3310387984981227,0.5878995433789954,0.3618999748680573
2,1400000US36067000300,Census Tract 3; Onondaga County; New York,0.22895622895622897,0.9751937984496124,0.9443561208267091,0.020118343195266272,0.0,0.0,0.05088757396449704,0.7650844730490748,0.7550200803212851,0.2183406113537118,0.11937984496124031,0.3137254901960784,0.18992511912865895
3,1400000US36067000400,Census Tract 4; Onondaga County; New York,0.15158045977011494,0.9524752475247524,0.954954954954955,0.008068854222700376,0.013986013986013986,0.0,0.05056481979558903,0.6223609872137972,1.0,0.06382978723404255,0.12409240924092409,0.5151515151515151,0.10163432073544433
4,1400000US36067000501,Census Tract 5.01; Onondaga County; New York,0.2081447963800905,0.777120315581854,0.751269035532995,0.23758389261744967,0.06577181208053691,0.09932885906040269,0.09932885906040269,0.5911230665770006,0.9429569266589057,0.34700665188470065,0.5029585798816568,0.8169790518191842,0.4601121172919362
5,1400000US36067000600,Census Tract 6; Onondaga County; New York,0.2109617373319545,0.7918032786885246,0.8995859213250518,0.28186528497409324,0.21036269430051813,0.04145077720207254,0.0,0.5354255825011888,0.8972375690607735,0.2598870056497175,0.5073770491803279,0.8140276301806588,0.3383838383838384
6,1400000US36067000700,Census Tract 7; Onondaga County; New York,0.14682539682539683,0.8578199052132701,0.9281767955801105,0.1618320610687023,0.10229007633587786,0.0,0.11297709923664122,0.6376021798365122,0.9680170575692963,0.17721518987341772,0.3522906793048973,0.8251599147121536,0.30429128738621586
7,1400000US36067000800,Census Tract 8; Onondaga County; New York,0.30924170616113744,0.8865116279069768,0.8782791185729276,0.1874356333676622,0.16992790937178168,0.02368692070030896,0.082389289392379,0.5198587819947044,0.7131221719457014,0.5874363327674024,0.42697674418604653,0.5800711743772242,0.352816474863719
8,1400000US36067000900,Census Tract 9; Onondaga County; New York,0.05319148936170213,0.9547014413177762,0.9460819554277499,0.04051054384017758,0.03496115427302997,0.004439511653718091,0.13263041065482797,0.7102293410993812,0.9420849420849421,0.171875,0.10706932052161977,0.3341772151898734,0.10995970063327576
9,1400000US36067001000,Census Tract 10; Onondaga County; New York,0.22617124394184168,0.9202425373134329,0.9305625950329448,0.1485742871435718,0.030515257628814407,0.06503251625812906,0.07103551775887944,0.6179479684302835,1.0,0.3569907735982967,0.31576492537313433,0.4688995215311005,0.22887323943661972
10,1400000US36067001400,Census Tract 14; Onondaga County; New York,0.2321167883211679,0.8083961248654468,0.8575233022636485,0.1734375,0.05625,0.0609375,0.05,0.40348101265822783,0.6149383611312546,0.45588235294117646,0.5102260495156081,0.6799177518848526,0.4457340025094103
